description,latitude,longitude,clue_area
Stainless Steel Drinking Fountain - Northbank Type,-37.81933413777128,144.96443696866604,Melbourne (CBD)
Drinking fountain - Historic or Heritage Drinking Fountains - Boyd Community Hub (SOUTHBANK),-37.82553356070186,144.96099800648864,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.793822787803755,144.958038101861,Parkville
Stainless Steel Drinking Fountain - Leaf Type - Grant Street Reserve,-37.82601912277288,144.96821302911962,Southbank
Stainless Steel Drinking Fountain - Leaf Type,-37.82449321904346,144.945698116347,Other
Stainless Steel Drinking Fountain - Leaf Type - Fawkner Park,-37.840591031294394,144.9842020334054,South Yarra
Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,-37.82514308986054,144.97830100199906,Southbank
Drinking Fountain - Type 1,-37.79515817674436,144.9710380792056,Carlton
Stainless Steel Drinking Fountain - Leaf Type,-37.802013714097406,144.95783228776227,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Wharfs Landing Park,-37.82210994675337,144.93666205920204,Other
Leaf Type - Dog Bowl  - University Square,-37.80089398503696,144.96074870882546,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82435043745128,144.9771113193355,Southbank
Leaf Type - Dog Bowl  - Pleasance Gardens,-37.796300658626926,144.94502857293458,North Melbourne
Stainless Steel Drinking Fountain - Leaf Type - Docklands Park,-37.82089072956917,144.94692985249003,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.79431438564634,144.9302959180467,West Melbourne
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82337609495653,144.9798517032086,Southbank
Stainless Steel Drinking Fountain - Leaf Type,-37.81386555249958,144.96475087670643,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.79275280598382,144.96844335889637,Parkville
Stainless Steel Drinking Fountain - Leaf Type,-37.82051269611414,144.94396083541395,Other
Stainless Steel Drinking Fountain - Leaf Type,-37.81515985140142,144.93712549711364,Docklands
Stainless Steel Drinking Fountain - Leaf Type,-37.815447719564624,144.96705501075527,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82469655350015,144.9721174141578,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82317712092532,144.94186784766944,Other
